ZIP,LAT,LNG
60617,41.718197, -87.552739
60618,41.946962, -87.702548
60619,41.743690, -87.605526
60620,41.740497, -87.652558
60621,41.776382, -87.639572
60622,41.902172, -87.683337
60623,41.848897, -87.717661
60624,41.880504, -87.724444
60625,41.973292, -87.700351
60626,42.010019, -87.667095
60628,41.690875, -87.615773
60629,41.775868, -87.711496
60630,41.972071, -87.756569
60631,41.994855, -87.813003
60632,41.810166, -87.713252
60633,41.663809, -87.561470
60634,41.946189, -87.806117
60636,41.775739, -87.669064
60637,41.781621, -87.599876
60638,41.781430, -87.770520
60639,41.920552, -87.756054
60640,41.972872, -87.662604
60641,41.946606, -87.746787
60642,41.902042, -87.658544
60643,41.700273, -87.663267
60644,41.880084, -87.756373
60645,42.008558, -87.694735
60646,41.993019, -87.759627
60647,41.921215, -87.701028
60649,41.763420, -87.565879
60651,41.902093, -87.740857
60652,41.747932, -87.714795
60653,41.819962, -87.605984
60654,41.892289, -87.637271
60655,41.694776, -87.703777
60656,41.974280, -87.827132
60657,41.940293, -87.646857
60659,41.991488, -87.703986
60660,41.991110, -87.663076
60661,41.883030, -87.644101
60706,41.964257, -87.816242
60707,41.921853, -87.807282
60712,42.005432, -87.733239
60714,42.028057, -87.810967
60803,41.674038, -87.736170
60804,41.838036, -87.759870
60805,41.722001, -87.702446
60827,41.649434, -87.633572
